series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.V.$,T36,"Total trade - value, volume, unit value",218,C,Ecuador,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,38,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",222,C,El Salvador,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,20.85559844,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",222,C,El Salvador,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,25.3835981,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",258,C,French Polynesia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,4.19903627,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",258,C,French Polynesia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,5.70679957,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",276,C,Germany,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,161,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",276,C,Germany,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,643,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",300,C,Greece,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,42.36602395,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",300,C,Greece,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,108.1441046,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",316,C,Guam,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,3.4,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",316,C,Guam,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,1.1,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",320,C,Guatemala,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,36.199,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",320,C,Guatemala,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,36.699,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",340,C,Honduras,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,17.93716624,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",340,C,Honduras,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,30.0995,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",344,C,"China, Hong Kong SAR",1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,235.3679159,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",344,C,"China, Hong Kong SAR",1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,200.8439283,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",360,C,Indonesia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,58.43498605,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",360,C,Indonesia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,105.6559607,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",364,C,Iran (Islamic Rep. of),1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,206.1110926,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",364,C,Iran (Islamic Rep. of),1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,304.053828,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",368,C,Iraq,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,53.01464645,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",376,C,Israel,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,27.559,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",376,C,Israel,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,70.439,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",392,C,Japan,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,103,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",392,C,Japan,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,306,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",410,C,"Korea, Republic of",1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,50.599,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",410,C,"Korea, Republic of",1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,0.699,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",430,C,Liberia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,4.679,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",430,C,Liberia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,12.099,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",484,C,Mexico,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,394.1796557,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",540,C,New Caledonia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,4.78562262,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",540,C,New Caledonia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,9.29720539,M,V,Value,A,Actual
