series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T38.A.CF.,T38,Conversion factors,96,C,Brunei Darussalam,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.47017,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,96,C,Brunei Darussalam,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.47017,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,100,C,Bulgaria,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00347199,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,100,C,Bulgaria,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00350899,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,104,C,Myanmar,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.30199992,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,104,C,Myanmar,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.30199992,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,108,C,Burundi,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.0239,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,108,C,Burundi,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.0239,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,120,C,Cameroon,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.01426997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,120,C,Cameroon,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.01426997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,124,C,Canada,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.95179986,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,124,C,Canada,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.95609968,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,132,C,Cabo Verde,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.03999999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,132,C,Cabo Verde,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.03999999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,136,C,Cayman Islands,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1.2,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,136,C,Cayman Islands,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1.2,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,140,C,Cent. Afr. Rep.,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,140,C,Cent. Afr. Rep.,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,144,C,Sri Lanka,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.30219984,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,144,C,Sri Lanka,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.30219984,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,148,C,Chad,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,148,C,Chad,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,170,C,Colombia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.57099986,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,170,C,Colombia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.57099986,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,174,C,Comoros,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,174,C,Comoros,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,178,C,Congo,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,178,C,Congo,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00715,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,180,C,Dem. Rep. of the Congo,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,2.27999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,180,C,Dem. Rep. of the Congo,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,2.27999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,184,C,Cook Islands,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1.62749958,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,184,C,Cook Islands,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1.60249996,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,188,C,Costa Rica,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,188,C,Costa Rica,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,192,C,Cuba,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,192,C,Cuba,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,196,C,Cyprus,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,196,C,Cyprus,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,4.02999973,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,200,C,Fm Czechoslovakia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.01993998,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,200,C,Fm Czechoslovakia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.02005999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,204,C,Benin,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.00571399,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,204,C,Benin,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.00571399,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,208,C,Denmark,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.20879983,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,208,C,Denmark,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.20789974,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,214,C,Dominican Republic,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,214,C,Dominican Republic,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,222,C,El Salvador,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.39999997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,222,C,El Salvador,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.39999997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,230,C,Ethiopia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.40249997,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,230,C,Ethiopia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.40249997,,CF,Conversion Factor,A,Actual
